"COORD_REF_SYS_CODE","COORD_REF_SYS_NAME","CMPD_HORIZCRS_CODE","CMPD_VERTCRS_CODE","SHOW_CRS","DEPRECATED"
3901,"KKJ / Finland Uniform Coordinate System + N60 height",2393,5717,1,0
3902,"ETRS89 / TM35FIN(N,E) + N60 height",5048,5717,1,0
3903,"ETRS89 / TM35FIN(N,E) + N2000 height",5048,3900,1,0
4097,"ETRS89 / DKTM1 + DVR90 height",4093,5799,1,0
4098,"ETRS89 / DKTM2 + DVR90 height",4094,5799,1,0
4099,"ETRS89 / DKTM3 + DVR90 height",4095,5799,1,0
4100,"ETRS89 / DKTM4 + DVR90 height",4096,5799,1,0
5318,"ETRS89 / Faroe TM + FVR09 height",5316,5317,1,0
7400,"NTF (Paris) + NGF IGN69 height",4807,5720,1,0
7401,"NTF (Paris) / France II + NGF Lallemand",27582,5719,1,1
7402,"NTF (Paris) / France II + NGF IGN69",27582,5720,1,1
7403,"NTF (Paris) / France III + NGF IGN69",27583,5720,1,1
7404,"RT90 + RH70 height",4124,5718,1,0
7405,"OSGB 1936 / British National Grid + ODN height",27700,5701,1,0
7406,"NAD27 + NGVD29 height",4267,5702,1,0
7407,"NAD27 / Texas North + NGVD29 height",32037,5702,1,0
7408,"RD/NAP",4289,5709,1,1
7409,"ETRS89 + EVRF2000 height",4258,5730,1,0
7410,PSHD93,4134,5724,1,0
7411,"NTF (Paris) / Lambert zone II + NGF Lallemand height",27572,5719,1,0
7412,"NTF (Paris) / Lambert zone II + NGF IGN69",27572,5719,1,1
7413,"NTF (Paris) / Lambert zone III + NGF IGN69",27573,5719,1,1
7414,"Tokyo + JSLD height",4301,5723,1,0
7415,"Amersfoort / RD New + NAP height",28992,5709,1,0
7416,"ETRS89 / UTM zone 32N + DVR90 height",25832,5799,1,0
7417,"ETRS89 / UTM zone 33N + DVR90 height",25833,5799,1,0
7418,"ETRS89 / Kp2000 Jutland + DVR90 height",2196,5799,1,0
7419,"ETRS89 / Kp2000 Zealand + DVR90 height",2197,5799,1,0
7420,"ETRS89 / Kp2000 Bornholm + DVR90 height",2198,5799,1,0
7421,"NTF (Paris) / Lambert zone II + NGF IGN69 height",27572,5720,1,0
7422,"NTF (Paris) / Lambert zone III + NGF IGN69 height",27573,5720,1,0
7423,"ETRS89 + EVRF2007 height",4258,5621,1,0
