"PRIME_MERIDIAN_CODE","PRIME_MERID_EPSG_NAME","PRIME_MERID_USER_NAME","GREENWICH_LONGITUDE","UOM_ANGLE_CODE","REVISION_DATE","INFORMATION_SOURCE","DATA_SOURCE","REMARKS","CHANGE_ID"
8901,Greenwich,,0.0,9110,1995-06-02 00:00:00,,EPSG,,96.29
8902,Lisbon,,-9.0754862,9110,1995-06-02 00:00:00,Instituto Geografico e Cadastral; Lisbon,EPSG,,96.29
8903,Paris,,2.5969213,9105,1995-06-02 00:00:00,Institut Geographique National (IGN); Paris,EPSG,Value adopted by IGN (Paris) in 1936. Equivalent to 2 deg 20min 14.025sec. Preferred by EPSG to earlier value of 2deg 20min 13.95sec (2.596898 grads) used by RGS London.,
8904,Bogota,,-74.04513,9110,1995-06-02 00:00:00,"Instituto Geografico \"Augustin Cadazzi\" (IGAC); Bogota",EPSG,,96.29
8905,Madrid,,-3.411658,9110,1995-06-02 00:00:00,,EPSG,,96.29
8906,Rome,,12.27084,9110,1995-06-02 00:00:00,,EPSG,,96.29
8907,Bern,,7.26225,9110,1995-06-02 00:00:00,Bundesamt für Landestopographie,EPSG,1895 value.  Newer value of 7 deg 26 min 22.335 sec E determined in 1938.,96.29
8908,Jakarta,,106.482779,9110,1995-06-02 00:00:00,,EPSG,,96.29
8909,Ferro,,-17.4,9110,1995-06-02 00:00:00,,EPSG,Used in Austria and former Czechoslovakia.,96.29
8910,Brussels,,4.220471,9110,1995-06-02 00:00:00,,EPSG,,96.29
8911,Stockholm,,18.03298,9110,1995-06-02 00:00:00,,EPSG,,96.29
8912,Athens,,23.4258815,9110,1997-06-16 00:00:00,Topography Department; National Technical University of Athens.,EPSG,Used in Greece for older mapping based on Hatt projection.,
8913,Oslo,,10.43225,9110,1999-10-20 00:00:00,Statens kartverk - Geodesi dividsion,EPSG,Formerly known as Kristiana and Christiana.,
