"UOM_L_ALIAS_CODE","UOM_L_ALIAS_NAME","UOM_LENGTH_CODE","REVISION_DATE","INFORMATION_SOURCE","DATA_SOURCE","REMARKS","CHANGE_ID"
9015,International nautical mile,9030,1996-10-18 00:00:00,,EPSG,,9624
9016,meter,9001,1995-06-02 00:00:00,,EPSG,,
9018,International foot,9002,1995-06-02 00:00:00,ISO 1958.,EPSG,,
9019,American foot,9003,1995-06-02 00:00:00,,EPSG,Used in USA.,
9020,Cape foot,9005,1995-06-02 00:00:00,,EPSG,Assumes Clarke's 1865 ratio of 1 French legal metre = 39.370432 imperial inches applies to the international metre.   Used in southern African & Jamaica mapping.,
9022,Indian geodetic foot,9080,1995-06-02 00:00:00,,EPSG,Indian Foot = 0.9999566 British feet (A.R.Clarke). British yard (=3 feet) taken to be J.S.Clarke 1865 value of 0.9144025 metres.,97.23
9023,link (Clarke's ratio),9039,1999-10-20 00:00:00,,EPSG,Assumes Clarke's 1865 ratio of 1 French legal metre = 39.370432 imperial inches applies to the international metre.  Used in Trinidad and Tobago mapping.,97.231
9024,link,9063,1999-10-20 00:00:00,,EPSG,Used in West Malaysian mapping.,97.231
9025,link,9043,1999-10-20 00:00:00,,EPSG,Used in East Malaysian mapping.,97.231
9026,chain,9062,1999-10-20 00:00:00,,EPSG,Used in West Malaysian mapping.,97.231
9027,chain,9042,1999-10-20 00:00:00,,EPSG,Used in East Malaysian mapping.,97.231
9028,yard,9040,1999-10-20 00:00:00,,EPSG,Used in older New Zealand mapping.,97.231
9029,yard,9085,1999-10-20 00:00:00,,EPSG,= 3 Indian feet.,97.23
9044,foot,9041,1999-10-20 00:00:00,,EPSG,,
9054,chain,9052,1999-10-20 00:00:00,,EPSG,,
9055,foot,9051,1999-10-20 00:00:00,,EPSG,,
9056,link,9053,1999-10-20 00:00:00,,EPSG,,
9057,yard,9050,1999-10-20 00:00:00,,EPSG,,
9064,foot,9061,1999-10-20 00:00:00,,EPSG,,
9065,yard,9060,1999-10-20 00:00:00,,EPSG,,
9071,foot,9070,1999-10-20 00:00:00,,EPSG,,
9088,Indian geodetic foot,9081,1999-10-20 00:00:00,,EPSG,Indian Foot = 0.9999566 British feet (A.R.Clarke). British yard (=3 feet) taken to be Benoit's 1885 value of 0.9144992 metres.,
9090,yard,9084,1999-10-20 00:00:00,,EPSG,= 3 Indian feet.,97.23
